NAME,median age male,median age female,total travel time to work,travel time to work: less than 5 minutes,travel time to work: 5 to 9 minutes,travel time to work: 10 to 14 minutes,travel time to work: 15 to 19 minutes,travel time to work: 20 to 24 minutes,travel time to work: 25 to 29 minutes,travel time to work: 30 to 34 minutes,travel time to work: 35 to 39 minutes,travel time to work: 40 to 44 minutes,travel time to work: 45 to 59 minutes,travel time to work: 60 to 89 minutes,travel time to work: 90 or more minutes,own children under 18 years by family type and age,total household type,household type: married-couple family,"household type: male householder, no wife present","household type: female householder, no husband present",household type: householder living alone,household type: householder not living alone,total male over 15years,male never married,male now married,male widowed,male divorced,total female over 15 years,female never married,female now married,female widowed,female divorced,women who had a birth in the past 12 months,male no schooling completed,male high school graduate (includes equivalency),male bachelor's degree,male master's degree,male doctorate degree,female no schooling completed,female high school graduate (includes equivalency),female bachelor's degree,female master's degree,female doctorate degree,total income in the past 12 months,total income in the past 12 months at or above poverty level,total income in the past 12 months below poverty level,median household income in the past 12 months (in 2018 inflation-adjusted dollars),total household in the past 12 months with/without public assist or stamps,household with cash public assistance or food stamps/snap in the past year,gini index,per capita income in the past 12 months (in 2018 inflation-adjusted dollars),mean usual hours worked male,mean usual hours worked female,total employment status 16 and over,employed population 16 years and over,housing units,housing tenure owner occupied,housing tenure renter occupied,median number of rooms,median contract rent,median monthly housing costs,no household computer,no household internet access,state_name,county
"Morgan County, Indiana",39.1,44.2,32742,1771,3299,2177,3045,3649,1390,5363,1502,2534,4468,2860,684,14268,25968,15295,1510,2837,4983,1343,27853,7849,16752,730,2522,29061,6071,17282,2386,3322,298,619,8948,2760,1030,212,115,8881,3055,2066,0,68993,61244,7749,68338,25968,1881,0.3997,30355,41.9,37.1,55743,33599,28476,20180,5788,6,624,917,2486,2962,Indiana,MORGAN
"Porter County, Indiana",38.2,42.2,77036,2021,7331,12827,8802,9381,5407,11073,2707,4474,6500,4003,2510,34968,66144,32474,3264,7636,18758,4012,67983,24566,34556,1935,6926,70768,18320,36467,6705,9276,1250,805,22280,9801,3480,692,420,21064,10147,5054,887,165570,150610,14960,66476,66144,4258,0.4213,33159,42.8,34.8,136235,82681,69387,50245,15899,6,814,991,5362,7740,Indiana,PORTER
"St. Joseph County, Indiana",35.8,38.1,130030,3072,13164,21387,27868,23087,10754,14546,4085,2599,5640,2324,1504,57807,107730,48249,4430,13091,35255,6705,104797,38239,53624,2974,9960,112514,36765,51272,9919,14558,4397,1064,25579,14376,6017,3010,937,26718,19115,9073,1163,258884,225291,33593,54434,107730,9460,0.4652,29428,41.3,36.2,213187,136975,117089,72539,35191,5.8,677,785,10165,16712,Indiana,ST JOSEPH
"Tippecanoe County, Indiana",25.8,30.5,89393,2505,13693,20556,22398,12662,3921,5602,884,1150,2423,2660,939,35052,70446,28536,3352,7377,23086,8095,82078,41591,32651,1430,6406,78236,32512,32191,4083,9450,2955,363,14426,11546,5263,2984,611,11883,13064,6054,1183,176849,144151,32698,50256,70446,6025,0.472,26222,38.9,34.3,158193,95314,76740,37675,32771,5.7,698,853,2964,4651,Indiana,TIPPECANOE
"Vanderburgh County, Indiana",36.4,40.5,84102,1994,9459,18118,17814,15164,4721,7771,1800,1942,2951,1090,1278,35449,75058,30815,3327,9363,25485,6068,70640,25985,32164,2593,9898,77087,23679,33524,7333,12551,1868,221,19839,9995,2088,1172,142,22188,11736,4572,421,174506,148212,26294,50325,75058,8466,0.4847,29773,42.7,37,146144,87497,84494,48209,26849,5.4,600,807,7328,9992,Indiana,VANDERBURGH
"Vigo County, Indiana",34.2,38.3,48635,3089,6585,11897,10613,6879,1617,2385,1544,517,1295,1716,498,17089,43262,18529,2443,3880,13690,4720,45048,17646,19049,1348,7005,44465,14473,21809,3041,5142,1277,250,12695,5057,2051,627,183,10132,5102,3386,488,98726,80168,18558,48961,43262,5220,0.4587,26022,40.2,33.8,88250,50809,47525,26561,16701,5.6,546,732,2228,3918,Indiana,VIGO
"Wayne County, Indiana",39.4,41,28406,2591,4343,5644,4310,3130,1228,2432,722,186,1782,1726,312,11979,28338,11865,1804,4619,7834,2216,25263,7716,12511,868,4168,28472,7245,13431,3165,4631,1276,287,8051,2374,910,72,395,8271,2707,1745,84,62823,53087,9736,44928,28338,4640,0.4306,24787,41.5,35.7,52822,29336,31442,18381,9957,5.9,485,694,3299,5080,Indiana,WAYNE
"Black Hawk County, Iowa",34.8,35.4,63900,3553,13224,14343,15930,7707,2525,2829,115,235,1377,910,1152,26153,53386,22700,3175,6526,16105,4880,52981,21965,25000,1470,4546,55257,20402,24521,4683,5651,2067,376,13274,8514,2143,599,589,12445,7679,2531,617,127354,105628,21726,51920,53386,7787,0.4596,28532,39,33.4,106931,69021,58321,34980,18406,5.6,637,818,5205,6639,Iowa,BLACK HAWK
"Dallas County, Iowa",33.5,36.1,47668,1274,4419,7053,10018,8082,4598,5408,1557,1856,1696,810,897,24150,35492,19784,684,3652,9213,2159,33315,9002,20330,900,3083,35557,7886,21016,2538,4117,1880,202,5439,8126,3023,532,386,6155,10653,2799,489,89591,82975,6616,83990,35492,2388,0.411,41200,42.2,37.2,67610,49871,38276,24472,11020,5.9,933,1189,1326,2302,Iowa,DALLAS
"Dubuque County, Iowa",36.9,40.5,47395,1994,8812,12333,9771,6468,2839,1846,659,521,676,636,840,19622,38501,18559,2691,3131,11869,2251,39375,14237,19932,886,4320,39546,11315,19880,3648,4703,1127,187,11729,5812,2609,279,286,11002,6948,2920,219,93086,81630,11456,60225,38501,4020,0.4424,30732,40.2,35.8,77985,49454,41514,27881,10620,6,616,835,4347,4843,Iowa,DUBUQUE
"Johnson County, Iowa",29.5,31.5,78304,2012,9010,16808,16038,13608,4065,7374,1405,1488,3498,2257,741,28427,60868,26567,2242,4758,17508,9793,61547,27888,28434,1120,4105,63904,25560,29683,3170,5491,3047,480,5753,9307,5687,4137,77,6204,13296,7548,2390,143968,119580,24388,63035,60868,4995,0.507,36857,39.3,34.1,123730,84295,65024,35303,25565,5.3,861,1064,1969,3413,Iowa,JOHNSON
"Linn County, Iowa",36.6,39.1,113735,3357,16718,26648,27910,18141,5147,6945,2204,1047,2790,1726,1102,47461,91747,42668,4179,7838,29254,7808,88950,31240,44978,2749,9983,93290,26898,44556,8762,13074,2414,460,20317,17418,5269,714,940,20382,19013,6157,257,220675,200254,20421,64103,91747,7840,0.436,34843,40.3,36.8,179264,120071,98067,68715,23032,6,623,931,7013,8601,Iowa,LINN
"Polk County, Iowa",34.7,36.7,244111,6550,25282,40413,52144,50197,21467,29460,3012,3261,7188,2767,2370,110536,189546,91110,8710,19652,53184,16890,188228,67185,99201,3712,18130,196692,60088,98019,14558,24027,5515,2060,38948,43325,10841,1595,2945,38495,44168,15441,2591,477975,431364,46611,68291,189546,21221,0.4317,34955,40.6,37.4,379522,262065,204626,128598,60948,5.6,785,1041,11739,18513,Iowa,POLK
"Pottawattamie County, Iowa",37.6,41,43611,2046,5749,6893,7738,6932,1764,6835,1243,1030,2004,1055,322,18432,36635,16373,1939,4965,11290,2068,36070,12906,18302,810,4052,39309,10397,18880,4292,5740,662,427,11143,4279,1310,143,499,10452,4941,2161,31,91092,80391,10701,55376,36635,4315,0.4416,28623,42.2,36.3,74371,45910,40007,24257,12378,5.6,721,872,3941,5920,Iowa,POTTAWATTAMIE
"Scott County, Iowa",37.1,39.4,84218,4054,8883,16611,20434,13634,6753,7813,922,912,2145,868,1189,38558,66905,31254,2402,7584,21121,4544,67426,23872,33693,2424,7437,71014,20257,33820,5910,11027,1641,225,19129,11943,4568,546,190,17945,14097,4137,397,169603,148748,20855,58175,66905,5803,0.4657,33588,41.4,35.4,136226,87735,74655,45153,21752,5.8,680,880,5987,8055,Iowa,SCOTT
"Story County, Iowa",25.3,27.1,48227,2159,7792,13022,11224,5150,1472,2070,693,710,1655,1650,630,15580,37290,15702,1213,2414,11739,6222,43385,24759,15636,634,2356,40985,18932,17198,2189,2666,847,0,3811,7163,2281,2704,55,4429,7693,3835,1940,86645,68721,17924,54586,37290,2594,0.4559,27266,36.1,33.6,83876,51985,40766,20584,16706,5.2,790,910,1575,1972,Iowa,STORY
"Woodbury County, Iowa",35,37.8,47740,1390,8244,10847,10012,8857,1880,2387,579,330,1361,1147,706,24120,39253,18449,2983,5019,9454,3348,39512,14147,20359,1167,3839,40304,10376,20636,4368,4924,1493,378,11784,4984,1266,130,387,9870,5720,2494,213,99863,85758,14105,61516,39253,6004,0.4308,29277,42.6,37,77995,50829,42434,25817,13436,5.8,632,800,3970,4897,Iowa,WOODBURY
"Butler County, Kansas",38.2,39.3,28955,1346,4596,2989,4033,3357,2932,4284,1788,1221,1226,584,599,15657,24692,15177,1126,2035,5296,1058,26982,7311,15797,1199,2675,26085,5417,16152,2332,2184,690,116,6324,3885,1852,203,63,5362,4471,2093,310,63783,57679,6104,64898,24692,1160,0.3771,27805,42.6,36.1,51856,30877,27082,18964,5728,6.4,672,967,2233,2881,Kansas,BUTLER
"Douglas County, Kansas",30,30.3,64599,2748,10086,13653,9628,7056,3004,7167,3013,2259,3518,1823,644,20476,48907,20948,2155,3252,13772,8780,51212,25140,21666,874,3532,51936,22211,21750,2935,5040,1404,76,5607,8638,5545,2859,50,5058,10579,9098,1298,113654,93035,20619,54668,48907,2476,0.4592,30466,37.2,34.5,101645,68816,51068,25899,23008,5.4,796,1068,1960,3560,Kansas,DOUGLAS
"Johnson County, Kansas",36.6,39,302292,6976,29572,47716,60540,60040,23332,37589,9557,8849,11902,3607,2612,135187,231184,129790,6653,19756,60640,14345,232176,71512,137621,3568,19475,245197,62445,137267,17491,27994,6498,646,26345,68580,29468,4777,592,30900,70692,33055,3538,590890,558948,31942,86746,231184,6565,0.4588,46475,42.2,36.5,469526,326916,244476,158768,72416,6.5,928,1299,8319,11395,Kansas,JOHNSON
"Leavenworth County, Kansas",38.1,39.4,35130,643,4673,5085,4750,4738,1824,5526,1370,1607,3220,687,1007,18113,26654,14821,1740,2276,7158,659,35097,11247,18363,688,4799,29661,5431,16302,2827,5101,946,510,10884,4979,2759,136,120,7876,5261,2897,82,75689,66040,9649,71071,26654,2477,0.4465,30757,38.4,37.5,63585,35062,29998,17252,9402,6,762,1123,2210,3108,Kansas,LEAVENWORTH
"Riley County, Kansas",24.6,26.1,38725,2465,10052,10595,7099,3208,1730,1833,464,85,190,598,406,11047,26617,9596,981,2442,9340,4258,33446,20075,11479,736,1156,30074,14155,10649,1195,4075,630,169,3994,4453,2077,1171,0,2841,5013,2734,1563,63368,48921,14447,44697,26617,1947,0.4782,26161,40.8,33.2,62424,36755,31340,11420,15197,5.1,720,972,654,1486,Kansas,RILEY
"Sedgwick County, Kansas",34.6,37.1,238511,6666,25209,44071,53887,49999,17315,24038,2569,2644,4862,4297,2954,117869,198024,90793,10174,22785,61311,12961,198224,68139,101058,6020,23007,205219,57330,104715,15785,27389,9733,2280,43527,31706,12576,2382,1867,42176,33642,17429,1693,506817,440710,66107,55882,198024,22188,0.4553,29479,41.4,36.4,394965,249173,220923,126139,71885,6,608,855,14011,22330,Kansas,SEDGWICK
"Shawnee County, Kansas",38.2,40.3,79654,1558,9280,16694,21524,14893,4029,5471,647,836,2248,1625,849,38082,72788,33879,2809,7657,23521,4922,68754,22783,35982,2555,7434,74158,20007,36400,6476,11275,2348,1106,18595,10729,3381,483,683,18496,13564,5819,660,172811,147972,24839,52104,72788,7011,0.4817,31301,40.2,36.4,140069,83296,80187,46997,25791,5.8,649,875,7818,13544,Kansas,SHAWNEE
"Wyandotte County, Kansas",33.3,35.2,72324,1320,5112,12026,14423,13799,7604,11081,1642,1267,2753,863,434,39833,60708,25054,3849,9732,18309,3764,61820,24068,28747,1658,7347,64054,21404,29968,4765,7917,3009,1528,15499,5909,2005,232,2115,16956,6608,2457,482,163023,134163,28860,47285,60708,8555,0.4234,22433,40.9,37.9,123484,75651,68301,33599,27109,5.2,667,904,5407,7770,Kansas,WYANDOTTE
"Boone County, Kentucky",35.3,40.4,64903,1228,5114,8557,12943,10916,5603,8556,1383,1814,5460,2552,777,30451,47684,26744,2482,5257,11229,1972,51149,15240,29175,552,6182,52957,14144,27692,4020,7101,1436,264,14016,8052,3248,466,290,12439,10021,4875,684,129864,123893,5971,77429,47684,2289,0.3775,35213,42.3,37.1,101655,71284,50035,34628,13056,6.4,846,1109,1648,2591,Kentucky,BOONE
"Bullitt County, Kentucky",39.5,42.3,38694,675,2819,2750,4188,5605,3951,10121,2149,1631,4003,494,308,13837,29789,17280,868,3572,6300,1769,33697,9433,19123,944,4197,33878,6861,19836,2942,4239,817,40,12551,2703,1026,25,117,10964,3163,1926,63,79894,71493,8401,58119,29789,2691,0.3926,26789,40.2,38.4,66088,40622,31948,24113,5676,5.9,664,907,2109,3112,Kentucky,BULLITT
"Campbell County, Kentucky",38,38.9,45424,1654,3994,7216,6032,7782,5170,5552,1579,1113,3071,1441,820,16574,36992,17161,2200,3642,11385,2604,37029,12014,18999,1352,4664,40308,13483,18000,3869,4956,1247,408,8918,6204,2758,726,345,8650,8176,3910,241,89418,76249,13169,59524,36992,2678,0.4636,32069,41,34.1,76020,47957,40545,26529,10463,5.8,677,925,3443,5106,Kentucky,CAMPBELL
"Christian County, Kentucky",26.4,30.2,29329,2868,7874,4614,5174,3628,1235,1377,343,757,423,818,218,16832,26114,12959,1527,3652,7199,777,29064,10725,14552,774,3013,25511,6241,14394,1498,3378,936,373,5889,2703,929,150,289,6450,2197,1407,54,64280,52821,11459,38448,26114,3533,0.5272,25080,41,36.3,53933,23520,30004,12243,13871,5.7,668,854,2963,4059,Kentucky,CHRISTIAN
"Daviess County, Kentucky",36.5,39,44229,2015,7977,11167,9003,4744,2055,2456,652,595,1676,1240,649,21405,39590,18599,2820,5755,10328,2088,38814,12335,20395,1319,4765,41620,10923,19568,3778,7351,1604,468,12219,4846,2047,403,219,10955,4458,2801,148,98628,82775,15853,50934,39590,5059,0.4421,26440,42.9,36.1,78526,46264,43375,26680,12910,5.6,560,797,4108,4524,Kentucky,DAVIESS
"Fayette County, Kentucky",33.9,35.8,161248,5419,15689,22318,36344,37559,8146,18198,2525,3413,5165,4136,2336,60576,131067,54308,5170,16347,41958,13284,128910,51286,62058,2501,13065,137722,48972,59046,10399,19305,5087,1074,19178,25277,10674,3979,1113,18539,26575,15155,3348,310981,265751,45230,54896,131067,11320,0.4825,34190,40.4,34.9,262377,172255,142688,73100,57967,5.3,755,969,5559,7833,Kentucky,FAYETTE
"Hardin County, Kentucky",33.4,38.8,48106,1600,7316,10103,9379,5978,2342,3219,1679,1535,2535,1663,757,22314,41625,21254,2683,5740,10451,1497,43580,14240,22505,1889,4946,44027,10148,24148,3756,5975,1725,207,11821,4529,1582,250,137,10877,4313,3311,188,106895,91718,15177,50981,41625,4422,0.4789,28829,41.4,38.2,86188,48463,47058,25874,15751,5.8,651,835,3942,5240,Kentucky,HARDIN
"Jefferson County, Kentucky",37.1,39.9,356330,6562,25660,49038,68921,79497,36836,47706,7789,8815,13636,7077,4793,146462,311263,126534,16894,43117,102027,22691,299388,118869,139653,7377,33489,328496,104360,149075,29930,45131,10056,2269,65422,53491,22141,5067,3414,71748,55249,31024,3176,751545,636014,115531,55851,311263,34659,0.4853,32955,40.3,36.5,619256,383026,347119,191497,119766,5.4,705,939,29873,34878,Kentucky,JEFFERSON
"Kenton County, Kentucky",35.4,37.9,80266,1866,7019,9984,17788,14958,5175,9993,2391,2220,5539,2352,981,34041,64611,30599,2074,7412,20011,4515,64828,23600,32227,1362,7639,67461,19200,35013,5638,7610,2152,514,14409,13467,4364,543,308,15536,9952,6780,394,163327,147428,15899,64441,64611,5690,0.4377,33443,41,37.5,130378,85118,69858,42701,21910,5.8,726,949,4596,6093,Kentucky,KENTON
"McCracken County, Kentucky",41.2,46,28322,475,4836,10524,5398,3165,818,1159,122,471,543,512,299,12461,27650,12039,847,4013,9261,1490,25066,7112,12764,1082,4108,28707,6186,14059,4282,4180,854,163,7696,3153,938,391,139,6423,4357,3089,31,63718,55189,8529,47764,27650,2797,0.541,32795,41,36.3,52815,29009,32270,17263,10387,5,584,710,2330,3156,Kentucky,MCCRACKEN
"Madison County, Kentucky",33,35.3,42543,746,6805,8131,6469,3716,2480,4503,1631,2016,3560,2048,438,15573,33396,16242,1836,4333,8248,2737,37440,14303,18439,730,3968,39443,12660,19128,2624,5031,1384,544,8430,5822,2089,1174,298,8042,4611,3514,606,86301,72307,13994,52047,33396,3832,0.4627,26814,39.3,35.3,75534,46096,37060,19592,13804,5.5,607,795,2946,3141,Kentucky,MADISON
"Oldham County, Kentucky",39.2,39.3,29110,963,1518,2885,2437,4639,2874,7126,1749,1957,2062,544,356,15824,21237,14407,1243,1918,3327,342,28111,9283,15798,434,2596,24379,5482,14755,1576,2566,488,132,4362,5664,3021,596,217,3921,5249,3218,446,63086,58975,4111,102033,21237,1098,0.4279,42857,42.4,36.3,51121,31272,22293,17570,3667,7.2,677,1273,745,1213,Kentucky,OLDHAM
"Warren County, Kentucky",32.3,34,62849,1782,9147,12490,13066,10291,3464,6943,1172,503,1710,728,1553,26124,48843,20675,3117,6705,13245,5101,51555,20563,23324,1948,5720,54550,18727,23356,4627,7840,1359,313,11505,7166,2501,638,835,10794,7825,3577,343,122943,101786,21157,53601,48843,5815,0.4609,27392,39.9,33.9,104852,67945,53976,28922,19921,5.7,645,857,3320,5065,Kentucky,WARREN
"Ascension Parish, Louisiana",34.6,36.8,58894,943,3893,4908,8122,7151,3306,13642,2803,1432,6626,5024,1044,28378,45102,26597,2693,5667,8086,2059,47104,13161,29021,873,4049,49662,13437,28659,2933,4633,2169,157,11304,6808,2192,546,398,13447,8620,3353,80,123465,110028,13437,79495,45102,4755,0.4456,35414,45,36.1,94484,61110,48685,35517,9585,5.6,690,999,3124,4050,Louisiana,ASCENSION
"Bossier Parish, Louisiana",34.2,36.6,59498,1555,5754,7767,12756,12738,5334,6576,1272,890,3264,937,655,29150,50099,24507,1723,5691,15038,3140,48462,15549,26562,1363,4988,51966,13805,26765,5035,6361,1695,72,11986,7821,2647,533,265,12540,9457,4001,272,125524,106518,19006,55922,50099,5595,0.4369,29105,44,35.6,99147,58100,57836,32277,17822,5.4,697,858,4941,9749,Louisiana,BOSSIER
"Caddo Parish, Louisiana",36.4,40.1,99755,1174,5174,14793,30309,21769,6780,9064,1591,1327,3752,2162,1860,46022,94778,35224,5305,17375,31985,4889,90253,37572,39954,3152,9575,104198,40615,42823,9721,11039,2574,716,28100,10387,3461,689,749,28905,11810,7271,208,237840,184998,52842,39077,94778,15617,0.4869,24553,39.9,36.6,191124,103570,113387,55060,39718,5.3,630,788,12201,21535,Louisiana,CADDO
"Calcasieu Parish, Louisiana",35.5,36.8,85670,3064,12481,12705,19078,14544,5625,9451,811,896,2666,2337,2012,43327,78351,34835,3804,11444,22329,5939,76582,27166,37531,2597,9288,84040,24686,39984,8154,11216,3697,785,23679,8199,1869,425,546,20868,12040,5480,380,200157,171264,28893,49113,78351,10155,0.4614,27954,41.4,37.2,158015,89602,92041,51835,26516,5.5,684,720,10071,16264,Louisiana,CALCASIEU
"East Baton Rouge Parish, Louisiana",32.8,36,205715,4927,14331,25762,40725,38350,12044,34005,7095,5467,11199,8808,3002,83873,163274,63238,7338,24578,53976,14144,169001,76073,74412,3424,15092,188470,77402,71444,16031,23593,5250,1267,37618,26447,9518,3502,1086,37999,34477,15227,1383,431849,362231,69618,52947,163274,21695,0.5115,32229,40.8,36.5,351769,216411,195199,98145,65129,5.3,777,921,13324,15819,Louisiana,EAST BATON ROUGE
"Iberia Parish, Louisiana",37.1,37.7,29538,803,2950,6018,4830,4218,1865,2597,1757,512,1397,1322,1269,14887,25386,11121,1619,4125,7176,1345,26448,10600,12457,692,2699,29211,12254,11985,2475,2497,1291,368,8564,2322,571,0,844,9246,2933,710,116,69861,52694,17167,42994,25386,6047,0.4421,22350,41.85,36.65,54815,30933,30735,16660,8726,5,513,624,3719,4406,Louisiana,IBERIA
"Jefferson Parish, Louisiana",38.6,40.7,200258,4437,17093,28432,38186,36347,12703,31602,4607,5151,10930,6466,4304,81098,167596,70261,8505,26735,53066,9029,169185,63846,81851,4779,18709,184264,61528,80589,17284,24863,6893,2330,42957,28117,7067,1011,2126,48644,31117,11677,1323,430094,364430,65664,50766,167596,22701,0.4679,29096,41.9,36.7,348359,210417,188663,101024,66572,5.5,827,923,18838,28957,Louisiana,JEFFERSON
"Lafayette Parish, Louisiana",34.7,36.5,111749,3090,10876,17914,21254,19241,6632,14209,1385,2276,4940,4700,5232,50799,94002,43356,3794,11931,28610,6311,93871,35582,45924,2908,9457,100832,34662,46489,8077,11604,3854,945,26065,15417,5364,806,650,25022,19505,6464,1467,237706,201690,36016,60071,94002,11886,0.4618,29811,41.1,35.3,191441,117852,104041,61397,32605,5.4,731,891,6352,9888,Louisiana,LAFAYETTE
"Lafourche Parish, Louisiana",37.8,38.5,40121,1581,4714,6488,5415,3575,2171,4086,2026,1392,2850,2695,3128,20014,35838,16599,1880,4869,10115,2375,37810,13427,19371,1315,3697,40845,12236,18929,4706,4974,1564,526,13012,3012,1029,374,284,14158,4276,1542,443,96289,80232,16057,50296,35838,5043,0.4827,27836,46.7,37,77660,42844,41623,27196,8642,5.3,625,703,4603,6127,Louisiana,LAFOURCHE
"Livingston Parish, Louisiana",35.7,38,60455,949,3112,3233,6117,6955,2352,13027,2721,3108,9384,7899,1598,31823,49084,24777,3813,7361,10135,2998,52985,17193,28579,1068,6145,56876,15018,28632,5122,8104,3673,0,18255,4910,1050,349,61,16398,9077,4153,511,137806,124161,13645,64067,49084,5645,0.4427,32662,44.7,37.3,108994,63651,58285,41091,7993,5.8,864,962,2493,3441,Louisiana,LIVINGSTON
"Orleans Parish, Louisiana",36.4,38.1,163262,2990,12437,22764,34278,28839,9141,26397,2833,3748,9212,5288,5335,66712,155104,40794,4725,22584,76625,10376,151861,78732,52849,4733,15547,173411,84824,53637,14775,20175,4326,1018,30301,27819,9246,3003,1248,35138,32132,17408,2871,374022,284892,89130,38423,155104,26050,0.5617,29048,40.1,36.9,320960,176055,191620,74982,80122,5,817,997,18812,30827,Louisiana,ORLEANS
"Ouachita Parish, Louisiana",33.5,37,59522,853,5728,13103,11641,11879,2225,7182,1207,591,1823,1983,1307,34853,55599,23620,2226,8644,18608,2501,57776,23092,28346,1245,5093,64189,21951,27505,5966,8767,1834,399,16343,7581,1978,418,441,18725,7729,3548,214,147023,115241,31782,44059,55599,9211,0.5155,26991,43.6,37.8,119885,62909,69035,32427,23172,5.3,598,740,9497,11718,Louisiana,OUACHITA
"Rapides Parish, Louisiana",35.9,39.3,52254,3251,8616,9241,10327,7494,3152,4223,495,930,1918,553,2054,27326,48915,21813,3298,7640,13902,2262,49976,18121,24033,1640,6182,53910,15644,25711,6071,6484,1902,226,16422,6085,1791,139,209,18563,5660,2659,414,126219,101820,24399,49175,48915,7626,0.4623,25507,44.8,37.5,102162,53394,58400,30064,18851,5.4,625,759,5107,6472,Louisiana,RAPIDES
"St. Landry Parish, Louisiana",33.5,38.7,28281,767,4016,3576,3837,4416,686,4723,802,2078,1091,1272,1017,19558,29965,12195,1675,6148,8730,1217,30708,13205,13381,1149,2973,33419,11374,14551,3377,4117,759,195,9211,2206,394,159,177,12867,2429,1381,81,81349,52102,29247,32867,29965,6022,0.5397,20035,41.85,36.65,63347,29938,36932,19628,10337,5,429,467,7767,11104,Louisiana,ST LANDRY
"St. Tammany Parish, Louisiana",38.9,42.4,107715,1878,8979,11637,13241,13530,4782,15361,3246,3864,14812,13010,3375,56642,93589,49363,4277,14282,22284,3383,99244,31577,52977,3596,11094,108061,26719,57435,10409,13498,2206,1195,22528,19063,5507,1156,637,26548,20730,8164,657,255974,223483,32491,65392,93589,5892,0.4782,33701,41,36.2,203712,117657,104838,74196,19393,6.1,901,1106,6323,10137,Louisiana,ST TAMMANY
"Tangipahoa Parish, Louisiana",35.3,37.5,52991,1123,5797,5420,9461,4384,3810,5158,931,800,5508,7424,3175,27686,47401,19567,3060,6978,14430,3366,50803,20216,23068,1267,6252,55082,19347,23681,6447,5607,1723,192,16211,4860,761,293,304,17162,6743,2881,419,130144,108924,21220,48205,47401,7139,0.4412,23098,41.8,34.5,104241,55594,56367,34233,13168,5.4,684,809,5840,8352,Louisiana,TANGIPAHOA
"Terrebonne Parish, Louisiana",35.8,36.5,43047,1774,6764,5868,7849,4914,1761,5106,867,1375,2545,1308,2916,23249,37911,18378,1692,6441,8822,2578,41416,16058,18720,1465,5173,45253,14576,21306,4546,4825,1734,791,13207,2919,1620,217,620,14796,4624,2163,0,109489,91800,17689,52820,37911,5856,0.4668,26015,41.85,36.65,85510,45432,45709,28042,9869,5.5,705,688,4555,5866,Louisiana,TERREBONNE
"Androscoggin County, Maine",39.9,43.7,51300,1208,6469,9261,6362,6777,2755,4648,2748,2460,6408,1518,686,19957,44897,19477,1896,5160,14650,3714,43154,15748,19872,1232,6302,45736,12595,22265,3899,6977,1352,408,15104,4942,1220,75,130,11202,5544,1925,452,104252,92210,12042,49697,44897,9195,0.4287,27378,40.8,35.5,87765,54151,50052,27588,17309,5.3,713,848,4039,5376,Maine,ANDROSCOGGIN
"Aroostook County, Maine",47.7,49.7,27129,2218,7202,3775,3942,2643,830,3206,256,268,866,1429,494,10960,29931,13297,1592,2714,10396,1932,27973,8263,14449,1244,4017,28884,6808,14183,4118,3775,946,130,8271,3066,732,225,348,8309,3959,1211,30,65029,55080,9949,38233,29931,6209,0.4634,24534,40.8,35.6,56592,28706,39986,21214,8717,5.3,477,578,5072,7061,Maine,AROOSTOOK
"Cumberland County, Maine",40,44.4,151588,3681,17450,27950,25271,23013,11906,15179,7227,5037,8252,4625,1997,49525,123485,58660,4757,8725,37832,13511,119745,40939,62506,2686,13614,129399,38408,62352,9902,18737,2481,728,21345,30357,11904,1847,393,21742,33488,17111,2725,286082,262750,23332,72452,123485,10037,0.4413,40414,39.8,36.2,245989,167779,145725,84735,38750,5.5,1036,1263,8682,9083,Maine,CUMBERLAND
"Kennebec County, Maine",41.9,46.5,58256,2310,8457,8577,8114,9827,4313,6856,1387,1278,3633,2334,1170,20751,54299,22684,2462,5959,17923,5271,49827,16678,23411,2044,7694,53303,11683,25324,4860,11436,1251,451,16051,6545,2231,1411,94,14146,8569,3433,689,118601,106250,12351,51653,54299,7550,0.4426,30540,39.9,35.3,102156,61673,62913,38885,15414,5.3,655,778,5986,8127,Maine,KENNEBEC
"Penobscot County, Maine",39.9,43.8,67778,2520,8969,11968,14063,10071,3710,7229,1974,1431,3324,1558,961,23404,61765,26464,2752,7572,19442,5535,63860,23759,29823,2719,7559,65473,18841,30362,5707,10563,1109,298,18666,8409,3097,575,188,18077,10964,4156,932,144946,123191,21755,47217,61765,12211,0.4697,27857,39.8,34.7,127364,72753,76144,40671,21094,5.2,695,775,6117,7987,Maine,PENOBSCOT
"York County, Maine",44,47.2,102413,4306,8985,11131,11061,15718,8004,15533,5775,5244,9558,5185,1913,33306,88416,44408,3108,6916,25322,8662,83516,24096,47104,1976,10340,90724,21395,47585,8403,13341,2699,443,25581,15188,4190,615,575,22482,17297,6779,647,201870,183787,18083,66614,88416,9321,0.4175,34810,41.5,36.9,171367,109898,111043,63407,25009,5.5,887,1088,7145,9320,Maine,YORK
"Allegany County, Maryland",40,45.2,28153,1772,3602,4775,5684,3835,1524,2883,692,493,648,1097,1148,10958,27190,12307,1233,3079,8701,1870,32310,12829,14494,1052,3935,28423,8094,12888,3382,4059,864,112,11834,2641,1396,112,108,9489,2817,1348,76,62081,51777,10304,42068,27190,5800,0.465,23511,38.8,34.4,59916,29353,32830,18996,8194,5.9,509,693,4377,4756,Maryland,ALLEGANY
